"","id","Rodovia","SNV","Km","Lado","Tipo","P_constr","N_Pessoas","UN_ID","Ocup_2000","Ocup_2010","Ocup_2018","UN_ORIG_FI","n","distance","feature_x","feature_y","xcoord","ycoord","zcoord","mvalue"
"981","F453
EdificaÃƒÂ§ÃƒÂ£o em alvenaria",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1637,1,2.11150102049368,832574.059165117,9083167.9013555,-35.9812946009464,-8.28286382541869,-999999,0
"982","F454",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,3721,1,3.37281676610363,832580.052334036,9083173.19324816,-35.981240618485,-8.2828156135585,-999999,0
"983","F456",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1624,1,2.22333438518497,832594.447197916,9083189.35275448,-35.9811111968453,-8.28266866020082,-999999,0
"984","F457",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1623,1,2.61767137405063,832595.631115402,9083193.73354677,-35.9811007627093,-8.28262900815781,-999999,0
"985","F458",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1620,1,0.953412592127085,832597.240236795,9083208.99432034,-35.9810872223288,-8.28249105030433,-999999,0
"986","F459",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1612,1,4.96008632897507,832603.896273236,9083228.60137755,-35.9810282151887,-8.28231348702469,-999999,0
"987","F460",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1611,1,1.03344733160536,832612.582257815,9083232.98461449,-35.9809497513716,-8.28227329806677,-999999,0
"988","F462",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1593,1,1.08466229971653,832624.786844986,9083292.68358325,-35.9808431913688,-8.28173321210648,-999999,0
"989","F463",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1597,1,4.06194646441958,832624.820244099,9083300.01259643,-35.9808433934183,-8.28166700835962,-999999,0
"990","F464",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1592,1,1.41715845643924,832624.584152131,9083307.01517128,-35.9808460167552,-8.28160377175578,-999999,0
"991","F465",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1595,1,3.40421630807437,832624.353541518,9083313.15860232,-35.9808485311943,-8.28154829524302,-999999,0
"992","F466",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1594,1,3.40724359923182,832624.277755777,9083319.79986852,-35.9808496759544,-8.28148831126368,-999999,0
"993","F467",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1589,1,4.5319947988078,832612.092779297,9083326.9803963,-35.9809606655518,-8.28142428718756,-999999,0
